0,1,2,3,4,5,6,7,8,9,10,11,12
"[2.0, 'H', 0.4866829700000004, -0.82605723, -0.3097130200000002]","[3.0, 'H', -0.05769332999999932, 0.6156478499999984, -0.7506094400000016]","[84.0, 'H', -1.3183827100000016, -1.6897071100000005, -1.5492828799999998]","[100.0, 'O', 1.0120131599999986, -2.3573219200000004, -0.5588706099999996]","[130.0, 'O', -1.518815889999999, -0.6581776400000017, 2.0718119799999997]","[131.0, 'H', -1.0407427200000008, -0.43984852000000174, 1.224409399999999]","[132.0, 'H', -1.2359156999999996, 0.09451836999999941, 2.6553637099999996]",,,,,,
"[1.0, 'O', -0.4866829700000004, 0.82605723, 0.3097130200000002]","[3.0, 'H', -0.5443762999999997, 1.4417050799999984, -0.4408964200000014]","[84.0, 'H', -1.805065680000002, -0.8636498800000005, -1.2395698599999996]","[100.0, 'O', 0.5253301899999983, -1.5312646900000004, -0.24915758999999937]","[101.0, 'H', 1.1691243799999995, -1.9593095399999996, -0.8820271900000023]","[102.0, 'H', 0.0033858000000002164, -2.294374229999999, 0.10125178999999918]","[131.0, 'H', -1.5274256900000012, 0.38620870999999823, 1.5341224199999992]",,,,,,
"[1.0, 'O', 0.05769332999999932, -0.6156478499999984, 0.7506094400000016]","[2.0, 'H', 0.5443762999999997, -1.4417050799999984, 0.4408964200000014]","[84.0, 'H', -1.2606893800000023, -2.305354959999999, -0.7986734399999982]","[131.0, 'H', -0.9830493900000015, -1.0554963700000002, 1.9750188400000006]",,,,,,,,,
"[5.0, 'H', -0.3444007500000019, 0.11290386000000296, 0.9044736899999997]","[6.0, 'H', 0.44536613, -0.8994186499999977, 0.0027022500000022376]","[88.0, 'O', 1.223375909999998, -2.3513230499999977, -0.28737861999999836]","[160.0, 'O', 2.077523969999998, 1.6156231700000028, -0.2774173900000001]","[161.0, 'H', 1.300013319999998, 0.9924651400000002, -0.16329096999999848]","[185.0, 'H', 0.42263559999999956, -0.18716485999999932, -2.19254952]",,,,,,,
"[4.0, 'O', 0.3444007500000019, -0.11290386000000296, -0.9044736899999997]","[6.0, 'H', 0.789766880000002, -1.0123225100000006, -0.9017714399999974]","[71.0, 'H', -1.7657900699999978, -1.8642867400000007, 1.0438579899999993]","[72.0, 'H', -0.4036012599999985, -1.6889236099999998, 1.818003430000001]","[145.0, 'O', 0.5293237400000024, -0.3876030900000025, 2.472187080000001]","[146.0, 'H', 0.2047382899999981, 0.5678926899999972, 2.4695025400000006]","[147.0, 'H', 1.5088143800000005, -0.40657122, 2.3623530499999994]","[161.0, 'H', 1.6444140699999998, 0.8795612799999972, -1.0677646599999981]",,,,,
"[4.0, 'O', -0.44536613, 0.8994186499999977, -0.0027022500000022376]","[5.0, 'H', -0.789766880000002, 1.0123225100000006, 0.9017714399999974]","[88.0, 'O', 0.7780097799999979, -1.4519044, -0.2900808700000006]","[89.0, 'H', 1.697122959999998, -1.498475580000001, -0.6332082100000029]","[90.0, 'H', 0.29786249, -1.9308019600000002, -0.9927319500000031]","[161.0, 'H', 0.8546471899999979, 1.8918837899999978, -0.16599322000000072]","[185.0, 'H', -0.02273053000000047, 0.7122537899999983, -2.1952517700000023]",,,,,,
"[8.0, 'H', 0.004888730000001118, 0.96205535, -0.21553906000000111]","[9.0, 'H', 0.7705502099999997, -0.45820277999999703, -0.4163014599999997]","[13.0, 'O', 2.1679001000000007, -1.6806404599999993, -0.5675116799999991]","[139.0, 'O', -0.5633169500000008, 2.7358499199999997, -0.3887678000000001]",,,,,,,,,
"[7.0, 'O', -0.004888730000001118, -0.96205535, 0.21553906000000111]","[9.0, 'H', 0.7656614799999986, -1.420258129999997, -0.20076239999999856]","[11.0, 'H', 0.8465599199999971, 2.1869242, -1.16174732]","[139.0, 'O', -0.5682056800000019, 1.7737945699999997, -0.173228739999999]","[140.0, 'H', -0.8497357200000017, 2.17802627, 0.6938889200000027]","[141.0, 'H', -1.3668723600000021, 1.7344440100000007, -0.7464531699999988]",,,,,,,
"[7.0, 'O', -0.7705502099999997, 0.45820277999999703, 0.4163014599999997]","[8.0, 'H', -0.7656614799999986, 1.420258129999997, 0.20076239999999856]","[13.0, 'O', 1.397349890000001, -1.2224376800000023, -0.1512102199999994]","[14.0, 'H', 1.3995136799999983, -2.1085502100000006, 0.2728238800000007]","[15.0, 'H', 2.1507229099999954, -1.1892730500000006, -0.7982305700000012]","[109.0, 'O', -0.3854152199999987, -0.4697042100000033, -2.8876735400000015]",,,,,,,
"[11.0, 'H', -0.8451182000000017, -0.05391177000000269, 0.5178005900000002]","[12.0, 'H', -0.06190383999999938, -0.7169385100000021, -0.7048736399999989]","[16.0, 'O', 1.1332437599999992, 2.0702838099999994, -1.3078501599999974]","[17.0, 'H', 0.5483022899999987, 1.3517041499999998, -0.945085559999999]","[76.0, 'O', -0.09442278999999942, -1.7796916500000002, -2.057713019999998]","[139.0, 'O', -2.2598838000000008, -0.46704140000000294, 1.5063191700000012]","[154.0, 'O', 2.0618937200000005, -0.3875074500000011, 1.6995560900000015]","[155.0, 'H', 1.3110762699999974, -0.26241494000000287, 1.052598660000001]",,,,,
"[8.0, 'H', -0.8465599199999971, -2.1869242, 1.16174732]","[10.0, 'O', 0.8451182000000017, 0.05391177000000269, -0.5178005900000002]","[12.0, 'H', 0.7832143600000023, -0.6630267399999994, -1.222674229999999]","[17.0, 'H', 1.3934204900000005, 1.4056159200000025, -1.4628861499999992]","[139.0, 'O', -1.414765599999999, -0.41312963000000025, 0.9885185800000009]","[140.0, 'H', -1.6962956399999989, -0.008897929999999832, 1.8556362400000026]","[141.0, 'H', -2.2134322799999993, -0.4524801899999993, 0.41529415000000114]","[155.0, 'H', 2.156194469999999, -0.20850317000000018, 0.5347980700000008]",,,,,
"[10.0, 'O', 0.06190383999999938, 0.7169385100000021, 0.7048736399999989]","[11.0, 'H', -0.7832143600000023, 0.6630267399999994, 1.222674229999999]","[17.0, 'H', 0.6102061299999981, 2.068642660000002, -0.24021192000000013]","[76.0, 'O', -0.032518950000000046, -1.062753139999998, -1.352839379999999]","[77.0, 'H', -0.35249181000000007, -1.9640877000000003, -1.0705476000000012]","[78.0, 'H', -0.7861481500000025, -0.7343431699999989, -1.9149017499999985]","[149.0, 'H', 1.7497599699999995, -0.6087547200000003, -1.7272259999999982]","[155.0, 'H', 1.3729801099999968, 0.4545235699999992, 1.7574722999999999]",,,,,
"[7.0, 'O', -2.1679001000000007, 1.6806404599999993, 0.5675116799999991]","[9.0, 'H', -1.397349890000001, 1.2224376800000023, 0.1512102199999994]","[14.0, 'H', 0.0021637899999973342, -0.8861125299999983, 0.4240341000000001]","[15.0, 'H', 0.7533730199999944, 0.033164630000001694, -0.6470203500000018]","[175.0, 'O', 2.263144269999998, 0.37179206000000065, -1.599103460000002]",,,,,,,,
"[9.0, 'H', -1.3995136799999983, 2.1085502100000006, -0.2728238800000007]","[13.0, 'O', -0.0021637899999973342, 0.8861125299999983, -0.4240341000000001]","[15.0, 'H', 0.7512092299999971, 0.91927716, -1.0710544500000019]","[106.0, 'O', 0.4675408100000027, -2.307432910000003, -1.7416183099999998]","[108.0, 'H', 0.07597787000000267, -2.454565650000003, -0.8667397500000007]",,,,,,,,
